ID,Modulo,Prioridad,Documento,Requisito
PR-01,Principios,Guía,02-principios.md,"La tabla es la pantalla. Cada módulo abre en la lista de datos con búsqueda y filtros; crear y editar ocurre en un panel lateral, no en un formulario permanente arriba."
PR-02,Principios,Guía,02-principios.md,"Nada cambia sin dejar rastro. Existencias, documentos y dinero se mueven por asientos registrados, no por edición directa de un campo."
PR-03,Principios,Guía,02-principios.md,"Cada número lleva a su detalle. Toda métrica del panel es un enlace al listado filtrado que la produce."
PR-04,Principios,Guía,02-principios.md,"Primero el mostrador. Facturar y cuadrar caja se diseñan para pantalla táctil, con teclado y lector de códigos, y funcionan en 390 px de ancho."
PR-05,Principios,Guía,02-principios.md,"Un idioma completo por sesión. Ningún texto queda incrustado en el código; no se mezcla español e inglés en la misma pantalla."
PR-06,Principios,Guía,02-principios.md,"Los datos son del cliente. Exportables en cualquier momento, en formato abierto, sin pedirlo por correo."
PR-07,Principios,Guía,02-principios.md,"El servidor manda. Ocultar un botón no es un permiso; toda regla se verifica en la API."
PR-08,Principios,Guía,02-principios.md,"Errores que enseñan. Cada mensaje dice qué pasó y cómo arreglarlo, en el idioma del usuario y junto al campo que lo causó."
ARQ-01,Arquitectura,MVP,03-arquitectura.md,"Monorepo con paquetes separados: `app-empresa`, `consola-admin`, `api`, `core` (reglas de negocio), `ui` (componentes y tokens), `db` (esquema y migraciones)."
ARQ-02,Arquitectura,MVP,03-arquitectura.md,"Dos hosts distintos. Ninguna ruta de la consola es alcanzable desde la app de empresa ni al revés, ni escribiendo la URL directamente."
ARQ-03,Arquitectura,MVP,03-arquitectura.md,"Dos ámbitos de autenticación independientes: una sesión de la consola no es válida en la app de empresa, y viceversa. Cookies con nombre, dominio y firma distintos."
ARQ-04,Arquitectura,MVP,03-arquitectura.md,"Toda tabla de negocio lleva `empresa_id` y el filtrado se aplica en la capa de datos (Row Level Security de PostgreSQL), no solo en la consulta de la aplicación."
ARQ-05,Arquitectura,MVP,03-arquitectura.md,"La empresa activa se resuelve desde la sesión del servidor, nunca desde un parámetro enviado por el navegador."
ARQ-06,Arquitectura,MVP,03-arquitectura.md,"Cambiar de empresa emite una sesión nueva y descarta toda caché de datos en el cliente."
ARQ-07,Arquitectura,MVP,03-arquitectura.md,"API única versionada. Los endpoints de plataforma viven bajo `/v1/admin/*` y exigen un rol de plataforma; los de negocio exigen membresía en la empresa."
ARQ-08,Arquitectura,MVP,03-arquitectura.md,"Numeración de documentos por empresa y por serie, con secuencia transaccional sin huecos ni repetidos, incluso con dos cajeros emitiendo a la vez."
